0	1023    907 	901	876
0.5	987	906	850	829
1	932	905	806	792
1.5	860	903	772	757
2	794	900	739	730
2.5	743	894	716	533
3	521	860	522	493
3.5	463	807	489	479
4	430	765	476	462
4.5	407	733	464	445
5	388	585	453	437
5.5	370	490	443	426
6	351	466	436	417
6.5	337	448	429	409
7	325	433	422	402
7.5	314	420	416	395
8	305	408	411	390
8.5	298	398	406	385
9	289	388	402	381
9.5	280	380	399	376
10	274	373	395	372
10.5	269	367		
11	265	361		
11.5	261	356		
12	257	351		
12.5	254	348		
13	250	344		
13.5	247	340		
14	244	337		
14.5	241	334		
15	238	331		
15.5	236	328		
16	234	326		
16.5	232	324		
17	230	322		
17.5	227	320		
18	226	318		
18.5	224	316		
19	222	315		
19.5	221	314		
20	220	313		
20.5	219	311		
21	218	310		
21.5	217	309		
22	216	308		
22.5	215	307		
23	213	306		
23.5	212	305		
24	211	304		
24.5	210	303		
25	210	302		
25.5	209	301		
26	209	301		
26.5	208	300		
27	208	300		
27.5	207	299		
28	206	298		
28.5	206	298		
29	206	298		
29.5	205	297		
30	205	297		
30.5	204	296		
31	204	296		
31.5	204	295		
32	203	295		
32.5	203	294		
33	203	294		
33.5	203	294		
34	202	293		
34.5	202	293		
35	202	293		
35.5	201	292		
36	201	292				
